question,answer
Who wrote the 1988 novel The Alchemist?,Paolo Coelho
Who wrote the 1951 novel The Catcher in the Rye?,JD Salinger
Who wrote the 1980 Italian novel The Name of the Rose?,Umberto Eco
Who wrote the 1902 children's novel The Tale of Peter Rabbit?,Beatrix Potter
Who directed the 1948 Italian film The Bicycle Thieves?,Vittorio De Sica
Who wrote the 1960 Southern Gothic novel To Kill a Mockingbird?,Harper Lee
Who wrote the 1936 self-help book How to Win Friends and Influence People?,Dale Carnegie
Who wrote the 1925 novel The Great Gatsby?,F Scott Fitzgerald
Who wrote the 1961 children's novel James and the Giant Peach?,Roald Dahl
Who wrote the 1988 science book A Brief History of Tine?,Stephen Hawking
Who wrote the 1813 romance novel Pride and Prejudice?,Jane Austen
Who wrote the 1963 children's book Where the Wild Things Are?,Maurice Sendak
Who wrote the 1965 science fiction novel Dune?,Frank Herbert
Who wrote the 1939 novel The Grapes of Wrath?,John Steinbeck
Who wrote the 1979 comic science fiction novel The Hitchhiker's Guide to the Universe?,Douglas Adams
Who wrote the 1994 autobiography Long Walk to Freedom?,Nelson Mandela
Who wrote the 1952 novella The Old Man and the Sea?,Ernest Hemingway
What Polish-born physicist was awarded the Nobel Prize in Chemistry for the discovery of radium and polonium?,Marie Curie
"What politician won the Novel Peace Prize in 1991, and defended the Burmese military against allegations of genocide at the Hague in 2019?",Aung San Suu Kyi
"Who won the Nobel Prize in Physics in 1945 for his discovery of the Exclusion Principle, which is named for him?", Wolfgang Pauli
